Country Name	Country Code	2005	2006	2007	2008	2009	2005totalpop	2009totalpop	2005prop	2009prop
"Egypt, Arab Rep."	EGY	32867778.23	33515927.34	34169838.47	34828407.88	35490540.45	77154409	82999393	0.426	0.4276
El Salvador	SLV	3623030.84	3655103.503	3688483.644	3723283.37	3759460.5	6058580	6163050	0.598	0.61
Equatorial Guinea	GNQ	236825.923	244278.8964	251874.762	259591.7786	267398.3442	608807	676273	0.389	0.3954
Eritrea	ERI	867785.668	918780.8768	969621.0732	1020848.914	1073505.836	4473122	5073279	0.194	0.2116
Estonia	EST	934193.4	932690.3274	931657.0368	931232.855	930808.7892	1346100	1340345	0.694	0.694454629
Ethiopia	ETH	12020405.06	12566942.31	13133903.38	13721283.78	14328678.64	74660901	82824732	0.161	0.173
Faeroe Islands	FRO	19204.893	19463.4449	19777.744	20093.61175	20411.05436	48253.5	48644.07618	0.398	0.4196
Fiji	FJI	420647.368	427664.956	434781.5616	441942.4856	449066.4784	828046	849218	0.508	0.5288
Finland	FIN	3273566.4	3301950.036	3331893.6	3363381.567	3395090.85	5246100	5338395	0.624	0.635975953
France	FRA	46689591	47192398.38	47779331.13	48177821.4	48579242.27	60873000	62616488	0.767	0.775821893
French Polynesia	PYF	131996.821	133790.2176	135520.7112	137208.5128	138879.9966	255313	269043	0.517	0.5162
Gabon	GAB	1144675.444	1173431.41	1202343.419	1231514.414	1261065.947	1369229	1474586	0.836	0.8552
"Gambia, The"	GMB	822588.382	859901.3542	897900.458	936684.84	976404.3912	1526138	1705212	0.539	0.5726
Georgia	GEO	2343885.075	2319230.188	2294847.496	2271517.601	2250307.891	4464543	4260333	0.525	0.5282
Germany	DEU	60532539.6	60530216.19	60515143.24	60465875.43	60416576.43	82469400	81879976	0.734	0.73786754
Ghana	GHA	10475450.3	10869726.27	11270812.04	11680133.69	12099793.68	21915168	23837261	0.478	0.5076
Gibraltar	GIB	27921					30714	31045	0.90906427	0
Greece	GRC	6706816	6755966.76	6805199.904	6854627.34	6904339.556	11104000	11283293	0.604	0.611908204
Greenland	GRL	47142.18	47145.1296	47099.004	47045.1456	46990.96076	56935	56061	0.828	0.838211248
Grenada	GRD	31365	31546.0964	31734.7844	31931.1192	32135.156	102500	103930	0.306	0.3092
Guam	GUM	156937.739	159264.9984	161454.4644	163544.2432	165597.6324	168569	177718	0.931	0.9318
Guatemala	GTM	5998996.336	6209420.275	6425833.643	6648720.982	6878814.809	12709738	14026947	0.472	0.4904
Guinea	GIN	3042853.44	3151097.759	3265278.791	3386504.142	3515998.421	9220768	10068724	0.33	0.3492
Guinea-Bissau	GNB	435897.296	447249.404	458613.504	470113.0864	481935.2032	1472626	1610746	0.296	0.2992
Guyana	GUY	215401.188	215983.5498	216393.12	216663.4206	216854.4312	763834	762498	0.282	0.2844
Haiti	HTI	4018066.157	4216009.119	4418751.096	4626106.697	4837728.882	9409991	10032619	0.427	0.4822
Honduras	HND	3205101.315	3302272.751	3401971.972	3504236.173	3609063.433	6892691	7465998	0.465	0.4834
"Hong Kong SAR, China"	HKG	6813200	6857100	6925900	6977700	7059372.026	6813200	7003700	1	1.007948945
Hungary	HUN	6687714.15	6717603.79	6747428.38	6775776.9	6804005.581	10087050	10022302	0.663	0.678886505
Iceland	ISL	273603.5	280147.7604	287388.4784	292846.1564	298407.4649	296750	319062	0.922	0.935264823
India	IND	314145321	321623270.5	329112675.4	336745640.8	344524677.6	1094583000	1155347678	0.287	0.2982
Indonesia	IDN	105440150.5	109245600.3	113098674.1	116991779.2	120915451.4	219210292	229964723	0.481	0.5258
"Iran, Islamic Rep."	IRN	46219250.14	47260012.81	48251693.81	49261297.83	50289124.93	69087070.46	72903921.33	0.669	0.6898
Iraq	IRQ	19050888.5	19507483.34	19974976.67	20453627.43	20943700.64	28476664.43	31494286.68	0.669	0.665
Ireland	IRL	2516255.5	2589697.829	2660342.069	2714709.045	2770129.348	4159100	4450446	0.605	0.622438593
Isle of Man	IMN	41051.648	41095.3924	41051.3376	40948.0612	40825.0352	80179	80491	0.512	0.5072
Israel	ISR	6347971.6	6462599.94	6579843.64	6699246.08	6810376.462	6930100	7441700	0.916	0.91516407
Italy	ITA	39618365.8	39938759.72	40327696.29	40733747.46	41143659.83	58607050	60221211	0.676	0.683208776
Jamaica	JAM	1396760.8	1408779.9	1420849.8	1432277.6	1445335.468	2650400	2699616.59	0.527	0.535385459
Japan	JPN	84330180	84523369.6	84737561.4	84897619.2	85039304	127773000	127560000	0.66	0.66666121
Jordan	JOR	4237204.5	4338155.84	4482438.583	4631518.82	4785556.032	5411500	5951000	0.783	0.804159978
Kazakhstan	KAZ	8648937	8783787.78	8928189.72	9081998.24	9216311.604	15147000	15888000	0.571	0.580080036
Kenya	KEN	7414074.288	7722038.73	8041751.313	8373307.392	8716641.285	35816784	39802015	0.207	0.219
Kiribati	KIR	40113.744	40864.3872	41601.7568	42331.0272	43061.364	92004	98045	0.436	0.4392
"Korea, Dem. Rep."	PRK	14493913.9	14642134.4	14787087.68	14929594.38	15070386.53	23529081	23906070	0.616	0.6304
"Korea, Rep."	KOR	38895504	39130229.4	39365654.4	39595262.2	39796833.61	48138000	48747000	0.808	0.816395545
Kosovo	KSV						1767000	1805000	0	0
Kuwait	KWT	2492343.473	2555772.877	2618760.799	2683300.97	2749431.639	2535446.056	2794705.874	0.983	0.9838
Kyrgyz Republic	KGZ	1841373	1867079.16	1890809.76	1914822.12	1939101.71	5143500	5321354.858	0.358	0.3644
Lao PDR	LAO	1611087.12	1708873.606	1810641.07	1916209.301	2025065.452	5879880	6320429	0.274	0.3204
Latvia	LVA	1564340	1556719.819	1549568.88	1543663.233	1537779.563	2300500	2255128	0.68	0.68190345
Lebanon	LBN	3534660.404	3577977.011	3614671.58	3646891.957	3677869.952	4081594	4223553	0.866	0.8708
Lesotho	LSO	464872.047	483671.524	502636.6424	521784.6234	541119.3942	1995159	2066919	0.233	0.2618
Liberia	LBR	1937182.982	2040265.556	2156783.661	2281350.76	2405418.228	3334222	3954979	0.581	0.6082
Libya	LBY	4560580.64	4665556.469	4772336.079	4880507.947	4989565.71	5922832	6419925	0.77	0.7772
Liechtenstein	LIE	5033.82	5059.6316	5082.0358	5102.0728	5120.9086	34716	35911	0.145	0.1426
Lithuania	LTU	2273923.8	2264531.51	2256263.071	2248593.804	2240943.408	3414300	3339550	0.666	0.671031549
Luxembourg	LUX	385150.824	390776.2716	396282.2208	402843.06	409511.6526	465158	497854	0.828	0.822553706
"Macao SAR, China"	MAC	487624	499914	513076	526178	537972	487624	537972	1	1
"Macedonia, FYR"	MKD	1331094.048	1342951.717	1354452.432	1365657.798	1376634.216	2035312	2042484	0.654	0.674
Madagascar	MDG	5020064.385	5221608.608	5428753.707	5641549.783	5860033.958	17614261	19625030	0.285	0.2986
Malawi	MWI	2362224.175	2499567.848	2642427.768	2791082.216	2945839.481	13654475	15263417	0.173	0.193
Malaysia	MYS	17328164.88	17880117.22	18440246.14	19007287.51	19579074.21	25633380	27467837	0.676	0.7128
Maldives	MDV	99124.956	104431.1742	109882.3572	115483.2222	121234.674	292404	309430	0.339	0.3918
Mali	MLI	3609018.03	3763883.413	3923670.149	4088705.845	4259542.427	11832846	13010209	0.305	0.3274
Malta	MLT	377676	381291.9856	384670.62	388304.07	391969.7049	403500	414971	0.936	0.944571319
Marshall Islands	MHL	39054.16427	40114.5828	41240.83864	42411.42958	43596.67035	55791.66325	61025.57439	0.7	0.7144
Mauritania	MRT	1206030.496	1243286.898	1280680.176	1318167.63	1355739.56	2985224	3290630	0.404	0.412
Mauritius	MUS	525896.019	530765.2932	534785.5464	539009.1792	542522.4042	1243253	1275323	0.423	0.4254
Mayotte	MYT						176545.4839	196519.3087	0	0
Mexico	MEX	78657008.15	79833562.42	80960716.36	82102534.8	83259199.41	103089132.6	107431225	0.763	0.775
"Micronesia, Fed. Sts."	FSM	24399.545	24573.4638	24733.6258	24887.3156	25046.6736	109415	110728	0.223	0.2262
Moldova	MDA	1601474.154	1569584.474	1541803.968	1517294.894	1494734.289	3759329	3603506	0.426	0.4148
Monaco	MCO	32453	32533	32620	32715	32812	32453	32812	1	1
Mongolia	MNG	1445727.528	1467608.911	1489050.501	1510247.309	1531531.904	2549784	2670966	0.567	0.5734
Montenegro	MNE	382266.828	378191.9518	375793.4932	374526.6192	373529.0592	624619	624213	0.612	0.5984
Morocco	MAR	16772245.05	17074034.15	17385598.92	17705466.08	18031024.85	30494991	31992592	0.55	0.5636
Mozambique	MOZ	7187860.755	7533502.805	7886091.937	8245725.157	8612833.403	20834379	22894294	0.345	0.3762
Myanmar	MMR	14793699.13	15230911.4	15682118.84	16147631.59	16626573.21	48345422	50019775	0.306	0.3324
Namibia	NAM	705169.179	730816.6704	757352.1046	784638.2136	812439.4654	2009029	2171137	0.351	0.3742
Nepal	NPL	4301003.636	4519047.984	4740855.613	4966762.282	5197365.486	27221542	29330505	0.158	0.1772
Netherlands	NLD	13088519.7	13197841.95	13315042.51	13455784.19	13597421.23	16319850	16531294	0.802	0.822526127
Netherlands Antilles	ANT	171348.469	174276.4032	177555.4556	180960.4804	184205.2212	186451	198198	0.919	0.9294
New Caledonia	NCL	149308.341	152756.8354	156154.08	159815.499	163062.3092	234393	250325.9275	0.637	0.6514
New Zealand	NZL	3563421.8	3612146.72	3654942.52	3695159.84	3740935.44	4133900	4315800	0.862	0.8668
Nicaragua	NIC	3049465.744	3103786.572	3158966.359	3215640.205	3274544.56	5455216	5742800	0.559	0.5702
Niger	NER	2135615.405	2228313.906	2327391.986	2432094.197	2541214.952	13101935	15290102	0.163	0.1662
Nigeria	NGA	65085901.65	67692976.99	70374686.01	73126246.03	75940940.19	140878575	154728892	0.462	0.4908
Northern Mariana Islands	MNP	72822.508	74597.085	76234.34	77766.604	79248.24	80201	86895	0.908	0.912
Norway	NOR	3573810.9	3605499.727	3645826.253	3694410.658	3743640.255	4623300	4827038	0.773	0.775556409
Oman	OMN	1871750.595	1910157.347	1951486.256	1994875.548	2039024.389	2617833	2845415	0.715	0.7166
Pakistan	PAK	54364428	56209990.81	58109988.7	60065913.74	62079297.09	155772000	169708302.6	0.349	0.3658
Palau	PLW	15367.572	15680.59995	15996.55411	16316.27377	16640.41324	19932	20397.66271	0.771	0.8158
Panama	PAN	2287989.792	2353903.7	2420578.884	2487938.436	2555884.52	3231624	3453898	0.708	0.74
Papua New Guinea	PNG	770893.452	788720.4604	806675.2944	824733.4788	842866.3068	6118202	6732159	0.126	0.1252
Paraguay	PRY	3453930.675	3555089.58	3657605.871	3761426.565	3866490.453	5904155	6348917	0.585	0.609
Peru	PER	19791344.1	20061299.18	20326546.95	20589403.8	20852891.35	27835927	29164883	0.711	0.715
Philippines	PHL	53605943.72	55255679.82	56939331.13	58654205.3	60396104.77	85495923	91983102	0.627	0.6566
Poland	POL	23471751.75	23433994.44	23398399.73	23378715.42	23359025.31	38165450	38149886	0.615	0.612296071
Portugal	PRT	6076483.2	6162205.077	6241944.314	6316086.77	6390415.017	10549450	10632069	0.576	0.601050935
Puerto Rico	PRI	3816850.032	3841881.323	3865489.728	3887609.178	3919193.998	3910722	3967288	0.975996256	0.987877361
Qatar	QAT	844708.806	955379.5636	1087045.647	1225016.417	1349099.696	885439	1409423	0.954	0.9572
Romania	ROU	11617645.95	11631434.44	11648239.54	11668988.57	11691392.22	21634350	21482395	0.537	0.544231321
Russian Federation	RUS	104356350	103854000	103534060	103396380	103258875.3	143150000	141850000	0.729	0.727944133
Rwanda	RWA	1573624.5	1637537.467	1707488.84	1782775.28	1861555.727	8992140	9997614	0.175	0.1862
Samoa	WSM	40088.384	40454.904	40800.144	41139.87	41492.272	178966	178846	0.224	0.232
San Marino	SMR	28075.676	28415.2176	28800.244	29213.8532	29633.39703	29836	31451	0.941	0.94220842
Sao Tome and Principe	STP	88673.382	91400.2392	94172.3438	97001.3744	99899.019	152622	162755	0.581	0.6138
Saudi Arabia	SAU	18823484.91	19416656.18	19949206.57	20312974.34	20683297.35	23118994	25391100	0.8142	0.814588472
Senegal	SEN	4693019.136	4848586.452	5009472.702	5175098.508	5344594.819	11281296	12534228	0.416	0.4264
Serbia	SRB	3831996.035	3830298.859	3828086.869	3825055.008	3822353.84	7440769	7319712.448	0.515	0.5222
Seychelles	SYC	43854.1	45159.48	45798.2352	47251.8904	48226.28535	82900	87972.06375	0.529	0.5482
Sierra Leone	SLE	1879367.536	1956520.589	2029397.76	2099400.493	2169216.157	5106977	5696471	0.368	0.3808
Singapore	SGP	4265800	4401400	4588600	4839400	4987600	4265800	4987600	1	1
Slovak Republic	SVK	3027494	3036441.549	3046246.279	3057987.666	3069760.49	5387000	5418156	0.562	0.566569233
Slovenia	SVN	990247.5	987379.056	986861.658	982359.576	986447.805	2000500	2043241	0.495	0.482785831
Solomon Islands	SLB	80539.37	84162.0368	87889.536	91716.6912	95635.476	473761	523170	0.17	0.1828
Somalia	SOM	2940609.056	3045001.054	3150710.895	3259894.255	3375602.63	8354003	9133124	0.352	0.3696
South Africa	ZAF	27807209.8	28330354.75	28834831.82	29572483.8	30194010.1	47198469	49320150	0.589154911	0.612204344
Spain	ESP	33286381.05	33899073.26	34547811.86	35132568.18	35727104.34	43398150	45957671	0.767	0.777391534
Sri Lanka	LKA	2969868	3002786	3021510	3043586.855	3065825.016	19668000	20303476.93	0.151	0.151
St. Kitts and Nevis	KNA	15456	15601.9032	15749.36095	15898.18796	16048.39676	48000	49593.31507	0.322	0.3236
St. Lucia	LCA	45482.316	46180.7584	46730.6288	47384.94953	48048.03529	164791	172091.8169	0.276	0.2792
St. Vincent and the Grenadines	VCT	49900.644	50385.9616	50861.733	51328.6368	51786.9078	108716	109209	0.459	0.4742
Sudan	SDN	15788976.58	16482383.09	17207985.18	17961450.87	18735143.19	38698472	42272435	0.408	0.4432
Suriname	SUR	369321.901	375122.0992	380630.9628	385930.9008	391156.324	499759	519740	0.739	0.7526
Swaziland	SWZ	270982.81	277130.3856	283934.9934	291257.7996	298840.8592	1124410	1184936	0.241	0.2522
Sweden	SWE	7607265.72	7662130.119	7726478.503	7794281.12	7862671.688	9024040	9302123	0.843	0.845255614
Switzerland	CHE	5451394.3	5490213.982	5544030.101	5619511.59	5696016.955	7437100	7731167	0.733	0.736760305
Syrian Arab Republic	SYR	10172613.53	10491796.02	10820557.01	11159175.37	11507937.9	19121454	21092261.55	0.532	0.5456
Tajikistan	TJK	1725382.032	1750871.894	1778718.479	1808827.562	1840948.65	6535538	6952223	0.264	0.2648
Tanzania	TZA	9439780.878	9884888.675	10352073.22	10841897.15	11354657.64	39007359	43739051	0.242	0.2596
Thailand	THA	21300453.03	21707739.23	22089792.6	22453142.82	22809373.51	65945675	67764033	0.323	0.3366
Timor-Leste	TLS	258807.861	272661.15	286253.929	299859.378	314005.538	991601	1133594	0.261	0.277
Togo	TGO	2390839.92	2494828.994	2602104.435	2712614.1	2826147.751	5992080	6618613	0.399	0.427
Tonga	TON	24450.96	24865.287	25271.7832	25663.6548	26033.3368	101879	103967	0.24	0.2504
Trinidad and Tobago	TTO	160832.6	165925.2672	171074.2208	176273.8936	181512.126	1318300	1338585	0.122	0.1356
Tunisia	TUN	6548937	6654161.7	6758989.4	6867987	6979342.5	10029000	10432500	0.653	0.669
Turkey	TUR	47896761.9	48846780.01	49803148.7	50764313.77	51727577.05	71169037	74815703	0.673	0.6914
Turkmenistan	TKM	2290827.451	2344358.155	2398104.575	2452207.072	2506907.619	4843187	5109881	0.473	0.4906
Turks and Caicos Islands	TCA	23580.336					30528	32788	0.772416667	0
Tuvalu	TUV	5022.121					10441		0.481	
Uganda	UGA	3587406.875	3753909.524	3927733.141	4109061.077	4298076.261	28699255	32709865	0.125	0.1314
Ukraine	UKR	31937291.7	31750167.15	31589150.52	31446324.36	31304119.44	47105150	46008406	0.678	0.6804
United Arab Emirates	ARE	3177177.864	3291220.771	3395997.097	3492867.378	3584148.84	4089032	4598600	0.777	0.7794
United Kingdom	GBR	54023146.28	54411080.12	54819194.54	55235807.36	55655542.31	60226500	61838154	0.896999598	0.900019465
United States	USA	238813288	241972393	245250060	248417020	251748760	295753000	307007000	0.807475454	0.820009837
Uruguay	URY	3041265.16	3052623.186	3064641.332	3077329.996	3090722.712	3305723	3344938	0.92	0.924
Uzbekistan	UZB	9603424.423	9730882.92	9881976.84	10056904.34	10222678.68	26167369	27767100	0.367	0.368157952
Vanuatu	VUT	50862.46	53150.24	55497.3906	57905.2216	60378.6184	216436	239788	0.235	0.2518
"Venezuela, RB"	VEN	24530571	25041518.4	25553693.4	26068942	26584454.4	26577000	28384000	0.923	0.9366
Vietnam	VNM	21940063.2	22615971.84	23298380.64	24001081.43	24717626.45	83106300	87279754.43	0.264	0.2832
Virgin Islands (U.S.)	VIR	103243.2	103639.1688	103934.5944	104194.224	104421.61	109600	109825	0.942	0.9508
West Bank and Gaza	PSE	2559483.768	2653762.59	2751508.83	2830925.171	2911116.96	3574697.999	4043218	0.716	0.72
"Yemen, Rep."	YEM	6075846.988	6378783.937	6694153.384	7021917.404	7361744.684	21023692	23580220	0.289	0.3122
Zambia	ZMB	4108451.2	4223645.623	4344358.738	4470081.57	4599816.861	11738432	12935368	0.35	0.3556
Zimbabwe	ZWE	4478555.156	4532712.258	4588782.123	4653639.019	4736116.909	12475084	12522784	0.359	0.3782
